CO_CNES,PA_CODUNI,count,sum,"Lat, Long",NO_FANTASIA,NU_LATITUDE,NU_LONGITUDE,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NO_COMPLEMENTO,CO_CEP,HR_INICIO_ATENDIMENTO,HR_FIM_ATENDIMENTO,TURNO_ATENDIMENTO,MOTIVO_DESATIVACAO,_c13
2143402,2143402,1,0.0,"-19.86541,-44.6067943",POLICLINICA NOSSA SENHORA DA PIEDADE,-19864764,-44606528,PRACA GALBA VELOSO,S/N,CENTRO,null,35660003,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2146355,2146355,1,24.0,"-18.8825978,-48.2596201",HOSPITAL DE CLINICAS DE UBERLANDIA,-18882157,-48260182,AV PARA,1720,UMUARAMA,null,38405320,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2146525,2146525,1,24.0,"-20.9245808,-46.9841541",SANTA CASA DE PARAISO,-20917,-46991,PRACA COMENDADOR JOAO PIO DE FIGUEIREDO WESTIN,92,MOCOQUINHA,null,37950000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2147572,2147572,9,99.0,"-21.3199394,-43.7473726",PEQUENO HOSPITAL SANTA MARIA DE ANTONIO CARLOS,-213194334,-437472055,RUA PADRE AVELINO PEREIRA,6,CENTRO,null,36220000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2152479,2152479,1,0.0,"-18.8980108,-48.3389231",UBS TOCANTINS,-18898218,-48338362,RUA JOAQUIM CARRIJO NETO,758,TOCANTINS,null,38415270,07:00,22:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
2152495,2152495,1,0.0,"-18.8986506,-48.2681002",UBS BRASIL,-188982232,-482682861,RUA PORTO ALEGRE,140,BRASIL,null,38400644,07:00,22:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
2152576,2152576,1,0.0,"-18.9356479,-48.279494",UBS PATRIMONIO,-18935505,-48279589,RUA PAZ,60,MORADA DA COLINA,null,38411066,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2152614,2152614,1,0.0,"-18.87046,-48.279505",UBS NOSSA SENHORA DAS GRACAS,-18870369,-48279889,AV SIQUEIRA CAMPOS,101,NOSSA SRA DAS GRACAS,null,38402008,07:00,19:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2152967,2152967,1,0.0,"-18.906089,-48.24677",UAI TIBERY ANICE DIB JATENE,-18906125,-48246678,AV BENJAMIM MAGALHAES,1115,TIBERY,CASA,38405040,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2153009,2153009,2,0.0,"-18.9383168,-48.3088478",UAI PLANALTO DR TUBAL VILELA DA SILVA,-18938181,-483087070,RUA DO ENGENHEIRO,246,PLANALTO,null,38413165,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2153343,2153343,1,0.0,"-21.7292753,-43.3457405",UBS PROGRESSO PSF,"-2,17288460079066E+016","-4,3345935344696E+016",R JORGE KNOPP,119,PROGRESSO,null,36050430,07:00,11:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2153505,2153505,1,0.0,"-21.7430691,-43.3474709",UBS NOSSA SENHORA APARECIDA,-217439438,-433484731,RUA NOSSA SENHORA APARECIDA,775,NOSSA SENHORA APAREC,null,36052030,13:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2153963,2153963,2,0.0,"-22.0254384,-46.3413514",UBS SANTA RITA DE CALDAS,-22029,-46337,RUA PREFEITO SEBASTIAO JANUZZI,427,N SR APARECIDA,null,37775000,07:00,16:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2154633,2154633,1,24.0,"-19.9376937,-44.0456847",LABORATORIO LUX VITAE LTDA,-199431109,-440483441,PORTUGAL,368,GLORIA,ANDAR 3,32340010,08:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2154757,2154757,2,46.32,"-19.9659839,-44.0148045",HOSPITAL SANTA RITA,-199529423,-440184996,AV TITO FULGENCIO,1045,JARDIM INDUSTRIAL,null,32215000,00:00,23:59,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2159252,2159252,1,24.0,"-20.1438528,-44.8740098",HOSPITAL SAO JOAO DE DEUS,"-2,01461758988523E+016",-4488641381263730,RUA DO COBRE,800,SAO JOAO DE DEUS,null,35500227,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2160137,2160137,212,2354.05,"-19.8729594,-44.990127",UPA ANTONIO JOSE DOS SANTOS,-198739651,-449889426,RUA PADRE JOSE LUIZ,440,SAO MARCOS,null,35523050,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2160803,2160803,2,0.0,"-20.1000156,-45.2782096",UBS MARIA ANGELICA DE CASTRO,-20087,-45294,AVENIDA JOAQUIM FRANCISCO DE OLIVEIRA,1358,SAO JOSE,null,35560000,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2164620,2164620,1,32.4,"-22.2828138,-42.5307901",SANTA SANTA CASA DE MISERICORDIA,-19593,-46941,PRACA DR AYRES MANEIRA,19,CENTRO,null,38183148,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2164760,2164760,5,0.0,"-7.2652587,-36.2408343",UBS NORBERTO DE OLIVEIRA FERREIRA,-19748,-47932,RUA FRANCISCO DE ASSIS BRITO,30,CONJ BOA VISTA,null,38070660,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2164779,2164779,2,0.0,"-19.7584106,-47.9534229",UBS JUCA INACIO UBS JOSE INACIO DE OLIVEIRA,-19748,-47932,RUA MINAS GERAIS,744,SANTA MARIA,null,38050070,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2164787,2164787,2,0.0,"-19.7309401,-47.9102847",UBS DOUTOR INIMA BARONI,-19748,-47932,RUA JOSE OLIMPIO GOMES,347,JARDIM TRIANGULO,null,38072376,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2164841,2164841,10,10.0,"-19.7421124,-47.9579676",UNIDADE MATRICIAL DE SAUDE ROBERTO ARABE ABDANUR,-19748,-47932,RUA EDELWEISS TEIXEIRA,60,MERCES,null,38061515,07:00,22:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2164884,2164884,24,0.0,"-19.7807606,-47.9104003",UNIDADE MATRICIAL DE SAUDE ALVARO GUARITA,-19748,-47932,AVN UMUARAMA,520,VALLIM DE MELLO,null,38037330,07:00,22:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2164949,2164949,4,0.0,"-19.787998,-47.9283043",UNIDADE SAUDE DA FAMILIA VIRLANEA AUGUSTA DE LIMA,-19748,-47932,RUA IVAN DONIZETTE CARVALHO,26,JARDIM MARACANA,null,38041069,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2164965,2164965,14,0.0,"-19.730838,-47.94247",UNIDADE MATRICIAL DE SAUDE VALDEMAR HIAL JR,-19748,-47932,AV IVANILDA DEL DUQUE,222,TANCREDO NEVES,null,38067320,07:00,22:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2164973,2164973,3,0.0,"-19.7348023,-47.9235593999999",UNIDADE MATRICIAL DE SAUDE EZIO DE MARTINO,-19748,-47932,RUA PRESIDENTE WENCESLAU BRAZ,33,BOA VISTA,null,38070070,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165082,2165082,15,0.0,"-19.762353,-47.9009499",UNIDADE MATRICIAL DE SAUDE MARIA TERESA FREITAS,-19748,-47932,RUA DAS ROSAS,408,LOURDES,null,38035310,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165112,2165112,2,0.0,"-19.0730422,-47.6067051",UBS PALMIRA CONCEICAO RESENDE,-19748,-47932,RODOVIA MG 190,S/N,SANTA ROSA,KM 12,38071480,08:00,16:30,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165120,2165120,1,0.0,"-19.7811666,-47.9395623",UBS JULIETA ANDRADE CUNHA,-19748,-47932,RUA ABILIO MONTEIRO,505,REC DOS BANDEIRANTES,null,38040520,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2165155,2165155,3,0.0,"-17.6934016,-42.5181119",UNIDADE SAUDE DA FAMILIA SEBASTIAO LIMA DA COSTA,-19748,-47932,RUA RODOLFO,1,CAPELINHA DO BARREIR,null,38046262,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165163,2165163,1,0.0,"-19.7001858,-47.6521582",UBS FRANCISCO JOSE SILVA,-19748,-47932,RUA SINHA TEODORO,557,PONTE ALTA,null,38106000,07:00,17:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
2165201,2165201,28,0.0,"-19.7702977,-47.9358722",UBS DONA APARECIDA CONCEICAO FERREIRA,-19748,-47932,AV ORLANDO RODRIGUES DA CUNHA,502,PQ SAO GERALDO,null,38030100,07:00,12:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2165228,2165228,3,0.0,"-19.7695605,-47.9102082",UBS ROSA MARIA FRANGE MONTES DO NASCIMENTO,-19748,-47932,RUA CATULINO NUNES DOS SANTOS,135,CONJ SILVERIO CARTAF,null,38036500,07:00,17:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
2165309,2165309,65,530.0,"-19.7453833,-47.9368755",CENTRO DE SAUDE PROFESSOR EURICO VILLELA,-19748,-47932,R TREZE DE MAIO,96,CENTRO,null,38065160,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165333,2165333,4,0.0,"-19.7385998,-47.9151349",UBS JACOB JOSE PINTO,-19748,-47932,RUA DOUTOR JOSE MARIA DOS REIS,640,ESTADOS UNIDOS,null,38017370,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165465,2165465,1,0.0,"-19.7504828,-47.9907248",UNIDADE SAUDE DA FAMILIA BEIJA FLOR,-19748,-47932,RUA RONAN FERREIRA MALUF,490,BEIJA FLOR,null,38051407,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2165473,2165473,3,0.0,"-19.7774977,-47.96793",UNIDADE MATRICIAL DE SAUDE LUIZ MENEGHELLO,-19748,-47932,AV ARGEMIRO COELHO DA SILVA,S/N,VOLTA GRANDE,null,38045580,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2168243,2168243,7,0.0,"-19.9446031,-43.4798339",HOSPITAL MUNICIPAL WALDEMAR DAS DORES,-199448253,-434796245,RUA PADRE CRUZ,242,VIUVA,null,35970000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2170299,2170299,4,0.0,"-19.2309656,-43.0204267",UNIDADE BASICA DE SAUDE PREFEITO MOACYR DIAS LAGE,-19232,-43023,AVENIDA AMIR SOARES DE CARVALHO,215,SAO CRISTOVAO,null,35800000,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2193183,2193183,9,90.0,"-19.4626762,-42.556962",POLICLINICA MUNICIPAL,-1946364858552260,-4255653440952300,RUA JOAQUIM NABUCO,S/N,CIDADE NOBRE,null,35162379,07:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2193310,2193310,72,370.55999999999995,"-19.4590613,-42.5624867999999",HOSPITAL MUNICIPAL DE IPATINGA,"-1,94595314367624E+016",-4256185054779050,AVENIDA FELIPE DOS SANTOS,123,CIDADE NOBRE,null,35162369,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2195437,2195437,56,1488.0,"-21.116127,-42.958032",HOSPITAL SANTA ISABEL,-21.12,-42943,RUA FREI CORNELIO,200,LAURINDO DE CASTRO,null,36500117,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2200457,2200457,3,72.0,"-19.950307,-43.9586852",ASSOCIACAO MARIO PENNA,-199504433,-439586487,JOAQUIM CANDIDO FILHO,91,LUXEMBURGO,null,30380420,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2201666,2201666,2,10.0,"-19.7551583,-47.9148256999999",CAISM CENTRO DE ATENDIMENTO INTEGRAL A SAUDE DA MULHER,-19748,-47932,AV LEOPOLDINO DE OLIVEIRA,1160,PQ DO MIRANTE,null,38001970,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2201763,2201763,7,0.0,"-19.7733804,-47.8878357",USF DR EDSON LUIZ FERNANDES,-19748,-47932,RUA LORIVAL PEDRO DO COUTO,234,RESIDENCIAL 2000,null,38038364,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2205440,2205440,15,84.66,"-19.4960789,-42.538794",HOSPITAL MARCIO CUNHA,-19495897,-42538837,KIYOSHI TSUNAWAKI,41,AGUAS,null,35160158,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2208172,2208172,2,12.47,"-17.8626169,-41.5070207",HOSPITAL SANTA ROSALIA,-178593862,-415073804,DOUTOR ONOFRE,575,CENTRO,null,39800022,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2208857,2208857,1,24.0,"-22.4196274,-45.4608487",HOSPITAL ESCOLA AISI ITAJUBA,-22426,-45453,MIGUEL VIANA,420,MORRO CHIC,null,37500080,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2209195,2209195,2,48.0,"-18.948529,-46.9875757999999",SANTA CASA DE MISERICORDIA NOSSA SENHORA DO PATROCINIO,"-1,89482312379461E+016",-4698685169219970,PRACA HONORICO NUNES,522,CENTRO,null,38740120,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2215586,2215586,16,160.0,"-19.6165386,-43.229515",HOSPITAL NOSSA SENHORA DAS DORES,-19619,-43227,AV JOAO SOARES DA SILVA,135,PENHA,null,35900062,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2218798,2218798,3,168.0,"-21.7866556,-43.3764597",HOSPITAL UNIVERSITARIO DA UNIV FEDERAL DE JUIZ DE FORA,"-2,17861021753266E+016",-4336855173110960,AV EUGENIO DO NASCIMENTO,S/N,AEROPORTO,null,36038330,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2219646,2219646,16,77.34,"-16.7171003,-43.8581049999999",HOSPITAL DILSON GODINHO,"-1,67166576781446E+016",-438581956923008,AVENIDA GERALDO ATHAYDE,480,SAO JOAO,A,39400292,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2225794,2225794,2,48.0,"-29.6940969,-51.480275",HISTOMED,-29689,-51461,RUA JULIO RENNER,450,TIMBAUVA,SL 05,95780000,08:00,12:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2225891,2225891,1,0.0,"-29.4479674,-51.5309714",UNIDADE BASICA DE SAUDE CAMPESTRE BAIXO,-2943512194679330,-5153887152671810,RUA FELIPE EDMUNDO RENNER,S/N,CAMPESTRE BAIXO,null,95750000,08:00,17:30,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2227908,2227908,2,1.26,"-29.5980378,-51.3365307",HOSPITAL SAGRADA FAMILIA,-29587,-51376,RUA MADRE REGINA PROTMANN,567,CENTRO,null,95760000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2228653,2228653,74,277.48000000000013,"-27.1940617,-53.2570564",HOSPITAL N S AUXILIADORA IRAI,-2719393404566790,"-5,3256869316101E+016",RUA TORRES GONCALVES,687,CENTRO,null,98460000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2229463,2229463,1,0.0,"-29.6339925,-51.0250607",ESF OESTESAPIRANGA,-29638,-51007,RUA ALAGOAS,50,OESTE,null,93804464,07:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2232014,2232014,5,56.69999999999999,"-29.9272775,-51.1613171",HOSPITAL NOSSA SENHORA DAS GRACAS,-29926667,-51161389,RUA SANTOS FERREIRA,1864,MARECHAL RONDON,null,92025222,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2232146,2232146,2,48.0,"-29.6755968,-51.1324262",FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH,-29678,-51131,AVN PEDRO ADAMS FILHO,6520,OPERARIO,null,93315544,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2233355,2233355,167,867.6300000000006,"-32.0097114,-52.0410535",HOSPITAL MUNICIPAL SAO JOSE DO NORTE,-32015,-52042,R DR EDGARDO PEREIRA VELHO,286,JOAO DE MAGALHAES,null,96225000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2233371,2233371,40,292.50000000000006,"-31.2991292,-52.1586867",CENTRO DE SAUDE SAO JOAO DA RESERVA,"-3,1299106490698E+016",-5215827941894530,SAO JOAO DA RESERVA,1,DISTRITO,6 DISTRITO,96170000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2235412,2235412,4,34.6,"-27.7842602,-52.8031382",HOSPITAL DOS TRABALHADORES ATRA,"-2,77838280897618E+016",-5280299663543700,RUA JULIO DE CASTILHOS,223,CENTRO,CASA,99670000,00:00,23:59,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2235919,2235919,1,32.4,"-29.6671147,-52.7929873999999",PAM DE CANDELARIA,-2966709805205310,-527927827835083,RUA 25 DE AGOSTO,90,CENTRO,null,96930000,13:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2236567,2236567,14,78.47,"-29.1384714,-51.5333769999999",UNIDADE DE SAUDE SAO ROQUE,-29171,-51519,RUA ARLINDO FRANKLIN BARBOSA,251,SAO ROQUE,null,95708514,07:00,22:00,"04 - ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE", - ,0
2237253,2237253,4,79.95,"-30.0304451,-51.2228279",IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE,-30033,-51.23,R PROF ANNES DIAS,295,CENTRO,null,90020090,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2237601,2237601,10,676.92,"-30.0386891,-51.206425",HOSPITAL DE CLINICAS,-3003261588823620,-5122982740402220,RUA RAMIRO BARCELOS,2350,SANTANA,LARGO EDUARDO FARACO,90035903,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2237849,2237849,2,18.77,"-30.0491015,-51.209",INSTITUTO DE CARDIOLOGIA,-30033,-51.23,AV PRINCESA ISABEL,395,AZENHA,null,90620001,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2237881,2237881,81,663.5999999999999,"-30.02237,-51.1541851",HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE,-3002213803127760,"-5,11541891098022E+016",RUA ENGENHEIRO WALTER BOEHL,285,VILA IPIRANGA,null,91360090,null,null,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2238357,2238357,1,0.0,"-29.3753536,-51.112547",UNIDADE BASICA DE SAUDE CENTRO,-29375567,-51112476,RUA SETE DE SETEMBRO,400,CENTRO,null,95150000,07:00,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2241803,2241803,5,60.879999999999995,"-29.8158191,-53.3712506",PRONTO ATENDIMENTO MUNICIPAL,-298152292,-533686821,RUA MOISES CANTARELLI,287,CENTRO,null,97200000,null,null,05 - ATENDIMENTO COM TURNOS INTERMITENTES, - ,0
2244136,2244136,19,49.88,"-23.4598076,-46.5378199",HOSPITAL DE SAO VICENTE DO SUL,"-2,9695136090338E+016",-5467176675796500,RUA ANTONIO GOMES,386,CENTRO,null,97420000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2244152,2244152,1,32.4,"-22.3268745,-49.0738642",IRDESI DE JAGUARI,-29497,-54.69,RUA SETE DE SETEMBRO,910,CENTRO,null,97760000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2244306,2244306,10,253.95,"-29.7144077,-53.7154539999999",HUSM HOSPITAL UNIVERSITARIO DE SANTA MARIA,-29684,-53807,AVN RORAIMA PREDIO 22,1000,CAMOBI,CAMPUS,97105900,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2245213,2245213,13,480.0,"-28.2604931,-52.413687",INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF,-282549441,-524172627,RUA TEIXEIRA SOARES,885,CENTRO,SALA 901,99010000,08:00,18:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2246767,2246767,1,32.4,"-27.9510121,-51.8146321",HOSPITAL SAO JOAO SANANDUVA,-27.95,-51807,AV SALZANO DA CUNHA,9,CENTRO,null,99840000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2246929,2246929,1,10.0,"-28.2559626,-52.4027093",HOSPITAL DE CLINICAS DE PASSO FUNDO,-28263,-52407,RUA TIRADENTES,295,CENTRO,null,99010260,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2246988,2246988,140,1921.7399999999989,"-28.2595685,-52.4135413",HOSPITAL SAO VICENTE DE PAULO,-2826044721528270,-5241347551345820,TEIXEIRA SOARES,808,CENTRO,null,99010080,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2246996,2246996,88,953.8600000000008,"-28.2584645,-52.3939078",HOSPITAL MUNICIPAL PASSO FUNDO,-28257315,-52393838,RUA ALCIDES MOURA,100,POPULAR,null,99010640,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2248220,2248220,1,23.16,"-30.8898697,-55.538089",SANTA CASA DE MISERICORDIA,-30891,-55533,RUA MANDUCA RODRIGUES,295,CENTRO,null,97573560,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2250152,2250152,1,0.0,"-27.5124932,-54.4956276",POSTO DE SAUDE VILA PRATOS ESF 2,-2751383806198420,-5449301362037650,VILA PRATOS RUA PORTO LUCENA,509,CENTRO,PREDIO,98955000,13:00,16:45,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,1
2250225,2250225,2,0.0,"-27.937474,-54.851121",POSTO DE SAUDE SEDE E PACS CAMPINA DAS MISSOES,-27989,-54839,AVENIDA SANTA ROSA,572,CENTRO,CASA,98975000,07:30,17:00,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
2250802,2250802,19,134.5,"-27.937474,-54.851121",HOSPITAL CAMPINA,-27989,-54839,RUA SANTA MARIA,744,CENTRO,CASA,98975000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2250837,2250837,16,138.35999999999999,"-27.7804872,-54.2368602",HOSPITAL SAO VICENTE DE PAULO,-27783834,-542372126,RUA OSVALDO CRUZ,381,CENTRO,PREDIO,98910000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2252260,2252260,1,6.3,"-29.5057724,-51.9659772",HOSPITAL ESTRELA,-29502,-51966,GERALDO PEREIRA,405,CENTRO,null,95880000,null,null,"06 - ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)", - ,0
2252988,2252988,2,0.0,"-31.7328613,-52.3366328",UBS SALGADO FILHO,-31732815,-52336672,AV SALGADO FILHO,912,TRES VENDAS,null,96055740,07:15,19:30,03 - ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE, - ,0
